SP,ST,ET,LB,LMin,LMax,LMean,LSD,UMin,UMax,UMean,USD
950,2024-03-13T16:14:15,14.120666666666667,0.5,731.4608046219801,782.3331944770925,770.0735791474375,12.956297653654374,782.3629774782866,785.3683120397426,784.0240848798422,0.8090864288144493
1000,2024-03-13T16:44:15,12.657666666666668,0.5,782.3958393268986,834.2675324860234,822.0734979108697,12.902050616692497,834.2923697430261,835.8169825930756,835.0410255242543,0.3841086971464975
1050,2024-03-13T17:09:15,12.391733333333333,0.5,833.5456998083973,886.5599692871389,874.8695814745779,12.928048346397208,886.584729733393,888.1179810912793,887.1832413803306,0.43795009855259154
1100,2024-03-13T17:34:15,10.339333333333334,0.5,883.6691865595058,938.9764568133558,927.0044805174134,13.497510639108741,938.0348607800152,940.0949071006141,939.4527278975922,0.34885033922902736
1150,2024-03-13T17:54:15,10.711066666666666,0.5,936.5480640221504,990.8975205006462,980.1850436550301,12.774841132694174,990.350850945139,991.3355376349679,991.0882943174308,0.19434922221541215
1200,2024-03-13T18:14:15,9.759166666666665,0.5,989.06899388897,1042.4932570811134,1031.8849430457713,13.135967441777318,1042.5132404762162,1043.2176843749817,1042.986986141584,0.16138150397286757
1250,2024-03-13T18:34:15,7.046666666666667,0.5,1039.7183622046723,1093.8584860920387,1081.9681647682382,13.688948008420185,1093.8685266738883,1094.1401583026254,1094.0045814382277,0.0630642242100796
1300,2024-03-13T18:44:20,6.2766,0.5,1091.8661309666932,1146.655739195158,1135.0738982194896,13.441170681594976,1146.6656628239853,1148.3047221497905,1147.3861577243558,0.5223827993879586
1350,2024-03-13T18:54:20,7.6328000000000005,0.5,1145.5227136507165,1200.6220581336468,1191.1260914631148,12.636812470807293,1199.457488047482,1200.8634637472255,1200.586237764448,0.3563914618662416
1400,2024-03-13T19:03:50,6.416300000000001,0.5,1196.6231118907453,1254.1721618835934,1243.5658924553882,13.42456678760601,1254.1826418174737,1256.1887834463305,1255.1374351461336,0.6774960778923799
1450,2024-03-13T19:14:20,5.742,0.5,1253.2822750962223,1309.906345964371,1300.143040377288,13.032597451507238,1309.9162763226902,1312.2918357237488,1310.881936432861,0.83111875769951
1500,2024-03-13T19:24:20,5.850833333333333,0.5,1307.6676533310674,1361.8704752929486,1353.509070600968,12.136424811379454,1361.8802795314223,1363.3841064757696,1362.5284434521034,0.492295576845435
1100,2024-03-13T19:34:20,105.63706666666667,0.5,143.3638766191316,1205.1777957897575,435.91106394787846,279.0157925851405,87.34271638312202,142.96869239394482,110.3736714483266,18.49945203856531
0,2024-03-12T20:44:14,0.11573333333333333,0.5,44.9387924663788,45.023870820170984,44.986292167707155,0.026430535829831427,43.92579619113903,45.05718491995743,44.49854661531977,0.4097095395605863
100,2024-03-12T20:48:28,1.7052,0.5,43.814990842024315,44.72033930343676,44.180791686913075,0.29514604244263426,44.72521840153644,46.110069123979315,45.49600925816844,0.4725267905036456
600,2024-03-12T20:53:28,72.12653333333333,0.5,38.039665152929956,439.42972257277313,315.5974188573568,123.24835353596522,439.519575395518,444.14527567862007,442.67367739034495,1.4298541013300967
700,2024-03-12T23:08:28,18.851,0.5,490.2283273388166,523.7860757594249,511.4800429614798,9.952674233778072,523.8311275827085,529.3004992060378,527.0015916493206,1.3747969501654211
750,2024-03-12T23:53:28,18.191333333333333,0.5,527.5982055575587,568.7144075776318,556.7183323192625,11.060221389984159,568.7493973257679,573.1667012563336,571.5926672725236,1.3517162398569411
800,2024-03-13T00:28:28,21.6953,0.5,571.701619250176,620.6315870885863,606.7082576815408,12.29358001828388,620.6614707781565,622.9740398401397,622.1514297306728,0.7176651445032354
850,2024-03-13T00:58:28,18.3702,0.5,618.7461685725721,667.9997795331285,654.6888473710997,12.660297240533692,668.0299195677235,671.0642124248807,669.9492578556979,0.9186084016342709
900,2024-03-13T01:28:33,16.445,0.5,668.0360447384883,717.9597627995727,705.2863964906521,12.75995117601215,717.9897321411014,721.151209384435,720.0039870823466,0.9342505422776805
950,2024-03-13T01:58:33,15.539333333333333,0.5,718.2676765875076,769.8163995709897,756.7628361338687,13.055020152994484,769.1933296749953,771.8647589073606,770.0525293702024,0.5943732690442917
1000,2024-03-13T02:28:33,14.231,0.5,768.0168294552714,821.0032594544525,808.2398049331246,13.317794335588587,821.0281565245887,823.0743861515931,822.3250726804207,0.5685233911028509
1050,2024-03-13T02:53:33,13.540966666666666,0.5,820.4485986969667,874.0121843793453,862.3235424023131,13.005596046420811,874.0371207187912,875.2990830837333,874.9059883898452,0.2776217121984177
1100,2024-03-13T03:18:33,11.221266666666667,0.5,873.0985109962639,928.3132730990925,916.078149673915,13.661903418041948,928.3331462028715,929.8626776160602,929.0789513424769,0.3691528078342881
1150,2024-03-13T03:38:33,10.591166666666668,0.5,925.5798658279818,982.0217711510174,969.9813130973691,13.671422582504292,981.53364868978,982.4297281760907,982.0786262445351,0.2313641992993034
1200,2024-03-13T03:58:33,12.970333333333334,0.5,979.2750040535466,1035.6833505696939,1026.0127192671557,12.288486668328169,1035.7029124830403,1036.259520888449,1036.0038155918621,0.12560844735132481
1250,2024-03-13T04:18:03,7.2314,0.5,1032.7656647356343,1088.002412466657,1075.9551043951628,13.571249801275055,1087.8277938445488,1088.6358736810791,1088.0495455372218,0.16517403740592146
1300,2024-03-13T04:28:33,6.6466,0.5,1083.365845850145,1139.4122642001098,1125.8833062413682,12.720260654531556,1139.4220074169325,1141.7710830647716,1140.4345292798994,0.8444204106794035
1350,2024-03-13T04:38:33,6.664,0.5,1138.6773996497504,1194.6401333518547,1183.851260271584,13.482412372207115,1194.6500128615542,1196.044364804077,1195.0598675718165,0.3141805055835283
1400,2024-03-13T04:48:33,6.5727,0.5,1192.4290586572024,1250.0109626792703,1239.545628248214,13.705842766108537,1249.835813483116,1250.2559822058888,1250.0450241287879,0.1348285926035217
1450,2024-03-13T04:58:38,6.138,0.5,1248.088974729064,1303.6160439841537,1293.8077284248338,12.393732519269271,1303.448293663008,1304.3073494402995,1303.8972313334773,0.21515116502494092
1500,2024-03-13T05:08:38,5.3016,0.5,1299.5910464085173,1357.2267601999135,1347.136797842017,12.812093130220251,1356.1808230159972,1358.1498079976136,1357.012862507833,0.6140985870254857
0,2024-03-11T20:34:48,0.013000000000000001,0.5,60.04974683297041,60.06330100446054,60.05737677976388,0.004841321553696209,58.90130120014169,60.065165917796165,59.17727667870495,0.28138864020561394
